"","date","hours","weekday","attendance"
"370",2019-01-16,"09:00-09:59","Wednesday",11
"371",2019-01-16,"10:00-10:59","Wednesday",17
"372",2019-01-16,"11:00-11:59","Wednesday",16
"373",2019-01-16,"12:00-12:59","Wednesday",28
"374",2019-01-16,"13:00-13:59","Wednesday",27
"375",2019-01-16,"14:00-14:59","Wednesday",13
"376",2019-01-16,"15:00-15:59","Wednesday",24
"377",2019-01-16,"16:00-16:59","Wednesday",26
"378",2019-01-16,"17:00-17:59","Wednesday",31
"379",2019-01-16,"18:00-18:59","Wednesday",27
"380",2019-01-16,"19:00-19:59","Wednesday",40
"381",2019-01-16,"20:00-20:59","Wednesday",30
"382",2019-01-16,"21:00-21:59","Wednesday",34
"383",2019-01-16,"22:00-22:59","Wednesday",24
"384",2019-01-16,"23:00-23:59","Wednesday",15
"385",2019-01-17,"00:00-00:59","Thursday",8
"386",2019-01-17,"01:00-01:59","Thursday",10
"387",2019-01-17,"02:00-02:59","Thursday",3
"388",2019-01-17,"03:00-03:59","Thursday",3
"389",2019-01-17,"04:00-04:59","Thursday",1
"390",2019-01-17,"05:00-05:59","Thursday",3
"391",2019-01-17,"06:00-06:59","Thursday",6
"392",2019-01-17,"07:00-07:59","Thursday",12
"393",2019-01-17,"08:00-08:59","Thursday",9
"394",2019-01-17,"09:00-09:59","Thursday",17
"395",2019-01-17,"10:00-10:59","Thursday",24
"396",2019-01-17,"11:00-11:59","Thursday",29
"397",2019-01-17,"12:00-12:59","Thursday",19
"398",2019-01-17,"13:00-13:59","Thursday",20
"399",2019-01-17,"14:00-14:59","Thursday",18
"400",2019-01-17,"15:00-15:59","Thursday",31
"401",2019-01-17,"16:00-16:59","Thursday",43
"402",2019-01-17,"17:00-17:59","Thursday",26
"403",2019-01-17,"18:00-18:59","Thursday",34
"404",2019-01-17,"19:00-19:59","Thursday",33
"405",2019-01-17,"20:00-20:59","Thursday",32
"406",2019-01-17,"21:00-21:59","Thursday",28
"407",2019-01-17,"22:00-22:59","Thursday",21
"408",2019-01-17,"23:00-23:59","Thursday",13
"409",2019-01-18,"00:00-00:59","Friday",6
"410",2019-01-18,"01:00-01:59","Friday",10
"411",2019-01-18,"02:00-02:59","Friday",6
"412",2019-01-18,"03:00-03:59","Friday",6
"413",2019-01-18,"04:00-04:59","Friday",3
"414",2019-01-18,"05:00-05:59","Friday",4
"415",2019-01-18,"06:00-06:59","Friday",NA
"416",2019-01-18,"07:00-07:59","Friday",7
"417",2019-01-18,"08:00-08:59","Friday",14
"418",2019-01-18,"09:00-09:59","Friday",11
"419",2019-01-18,"10:00-10:59","Friday",22
"420",2019-01-18,"11:00-11:59","Friday",21
"421",2019-01-18,"12:00-12:59","Friday",25
"422",2019-01-18,"13:00-13:59","Friday",16
"423",2019-01-18,"14:00-14:59","Friday",31
"424",2019-01-18,"15:00-15:59","Friday",19
"425",2019-01-18,"16:00-16:59","Friday",23
"426",2019-01-18,"17:00-17:59","Friday",28
"427",2019-01-18,"18:00-18:59","Friday",23
"428",2019-01-18,"19:00-19:59","Friday",38
"429",2019-01-18,"20:00-20:59","Friday",32
"430",2019-01-18,"21:00-21:59","Friday",35
"431",2019-01-18,"22:00-22:59","Friday",24
"432",2019-01-18,"23:00-23:59","Friday",18
"433",2019-01-19,"00:00-00:59","Saturday",11
"434",2019-01-19,"01:00-01:59","Saturday",10
"435",2019-01-19,"02:00-02:59","Saturday",2
"436",2019-01-19,"03:00-03:59","Saturday",7
"437",2019-01-19,"04:00-04:59","Saturday",1
"438",2019-01-19,"05:00-05:59","Saturday",NA
"439",2019-01-19,"06:00-06:59","Saturday",1
"440",2019-01-19,"07:00-07:59","Saturday",2
"441",2019-01-19,"08:00-08:59","Saturday",7
"442",2019-01-19,"09:00-09:59","Saturday",6
"443",2019-01-19,"10:00-10:59","Saturday",14
"444",2019-01-19,"11:00-11:59","Saturday",18
"445",2019-01-19,"12:00-12:59","Saturday",15
"446",2019-01-19,"13:00-13:59","Saturday",16
"447",2019-01-19,"14:00-14:59","Saturday",21
"448",2019-01-19,"15:00-15:59","Saturday",30
"449",2019-01-19,"16:00-16:59","Saturday",19
"450",2019-01-19,"17:00-17:59","Saturday",30
"451",2019-01-19,"18:00-18:59","Saturday",44
"452",2019-01-19,"19:00-19:59","Saturday",30
"453",2019-01-19,"20:00-20:59","Saturday",38
"454",2019-01-19,"21:00-21:59","Saturday",24
"455",2019-01-19,"22:00-22:59","Saturday",34
"456",2019-01-19,"23:00-23:59","Saturday",21
"457",2019-01-20,"00:00-00:59","Sunday",11
"458",2019-01-20,"01:00-01:59","Sunday",13
"459",2019-01-20,"02:00-02:59","Sunday",7
"460",2019-01-20,"03:00-03:59","Sunday",10
"461",2019-01-20,"04:00-04:59","Sunday",6
"462",2019-01-20,"05:00-05:59","Sunday",4
"463",2019-01-20,"06:00-06:59","Sunday",6
"464",2019-01-20,"07:00-07:59","Sunday",7
"465",2019-01-20,"08:00-08:59","Sunday",21
"466",2019-01-20,"09:00-09:59","Sunday",19
"467",2019-01-20,"10:00-10:59","Sunday",48
"468",2019-01-20,"11:00-11:59","Sunday",58
"469",2019-01-20,"12:00-12:59","Sunday",50
"470",2019-01-20,"13:00-13:59","Sunday",46
"471",2019-01-20,"14:00-14:59","Sunday",77
"472",2019-01-20,"15:00-15:59","Sunday",66
"473",2019-01-20,"16:00-16:59","Sunday",71
"474",2019-01-20,"17:00-17:59","Sunday",63
"475",2019-01-20,"18:00-18:59","Sunday",61
"476",2019-01-20,"19:00-19:59","Sunday",39
"477",2019-01-20,"20:00-20:59","Sunday",46
"478",2019-01-20,"21:00-21:59","Sunday",37
"479",2019-01-20,"22:00-22:59","Sunday",17
"480",2019-01-20,"23:00-23:59","Sunday",17
"481",2019-01-21,"00:00-00:59","Monday",12
"482",2019-01-21,"01:00-01:59","Monday",11
"483",2019-01-21,"02:00-02:59","Monday",4
"484",2019-01-21,"03:00-03:59","Monday",5
"485",2019-01-21,"04:00-04:59","Monday",8
"486",2019-01-21,"05:00-05:59","Monday",1
"487",2019-01-21,"06:00-06:59","Monday",4
"488",2019-01-21,"07:00-07:59","Monday",8
"489",2019-01-21,"08:00-08:59","Monday",9
"490",2019-01-21,"09:00-09:59","Monday",19
"491",2019-01-21,"10:00-10:59","Monday",24
"492",2019-01-21,"11:00-11:59","Monday",26
"493",2019-01-21,"12:00-12:59","Monday",19
"494",2019-01-21,"13:00-13:59","Monday",21
"495",2019-01-21,"14:00-14:59","Monday",18
"496",2019-01-21,"15:00-15:59","Monday",36
"497",2019-01-21,"16:00-16:59","Monday",30
"498",2019-01-21,"17:00-17:59","Monday",21
"499",2019-01-21,"18:00-18:59","Monday",24
"500",2019-01-21,"19:00-19:59","Monday",30
"501",2019-01-21,"20:00-20:59","Monday",41
"502",2019-01-21,"21:00-21:59","Monday",19
"503",2019-01-21,"22:00-22:59","Monday",26
"504",2019-01-21,"23:00-23:59","Monday",12
"505",2019-01-22,"00:00-00:59","Tuesday",4
"506",2019-01-22,"01:00-01:59","Tuesday",6
"507",2019-01-22,"02:00-02:59","Tuesday",6
"508",2019-01-22,"03:00-03:59","Tuesday",5
"509",2019-01-22,"04:00-04:59","Tuesday",NA
"510",2019-01-22,"05:00-05:59","Tuesday",NA
"511",2019-01-22,"06:00-06:59","Tuesday",5
"512",2019-01-22,"07:00-07:59","Tuesday",7
"513",2019-01-22,"08:00-08:59","Tuesday",15
"514",2019-01-22,"09:00-09:59","Tuesday",12
"515",2019-01-22,"10:00-10:59","Tuesday",25
"516",2019-01-22,"11:00-11:59","Tuesday",11
"517",2019-01-22,"12:00-12:59","Tuesday",25
"518",2019-01-22,"13:00-13:59","Tuesday",20
"519",2019-01-22,"14:00-14:59","Tuesday",25
"520",2019-01-22,"15:00-15:59","Tuesday",29
"521",2019-01-22,"16:00-16:59","Tuesday",20
"522",2019-01-22,"17:00-17:59","Tuesday",37
"523",2019-01-22,"18:00-18:59","Tuesday",33
"524",2019-01-22,"19:00-19:59","Tuesday",47
"525",2019-01-22,"20:00-20:59","Tuesday",33
"526",2019-01-22,"21:00-21:59","Tuesday",35
"527",2019-01-22,"22:00-22:59","Tuesday",22
"528",2019-01-22,"23:00-23:59","Tuesday",7
"529",2019-01-23,"00:00-00:59","Wednesday",14
"530",2019-01-23,"01:00-01:59","Wednesday",4
"531",2019-01-23,"02:00-02:59","Wednesday",8
"532",2019-01-23,"03:00-03:59","Wednesday",6
"533",2019-01-23,"04:00-04:59","Wednesday",4
"534",2019-01-23,"05:00-05:59","Wednesday",5
"535",2019-01-23,"06:00-06:59","Wednesday",NA
